Live,Login,Read Only,Comment
3,326732,Y,User Changed to Read-Only,

User Has open position.,
36422979 Closed by external Plugin. OK
36424584 Closed by external Plugin. OK
36425190 ERROR Closing: Invalid parameters
36427466 ERROR Closing: Invalid parameters
36432907 ERROR Closing: Invalid parameters
36433004 ERROR Closing: Invalid parameters
36433654 ERROR Closing: Invalid parameters
36433700 ERROR Closing: Invalid parameters
36435993 Order Closed.,
36439310 Order Closed.,
36440846 Order Closed.,
36445702 Order Closed.,
36445795 Order Closed.,
36447319 Order Closed.,
36447544 Order Closed.,
36450628 Order Closed.,
36451040 Order Closed.,
36451683 Order Closed.,
36452129 Order Closed.,
36452916 Order Closed.,
36454002 Order Closed.,
36454796 Order Closed.,
36455230 Order Closed.,
36455527 Order Closed.,
36457248 Order Closed.,
36460399 Order Closed.,
36461942 Order Closed.,
36464092 Order Closed.,
36466369 Order Closed.,
36466401 Order Closed.,
36466550 Order Closed.,
36469215 Order Closed.,
36471098 Order Closed.,
36471733 Order Closed.,
36471982 Order Closed.,
36475498 Order Closed.,
36478399 Order Closed.,
36478446 Order Closed.,
36478803 Order Closed.,
36479504 Order Closed.,
36480484 Order Closed.,
36480906 Order Closed.,
36481995 Order Closed.,
36482539 Order Closed.,
36483907 Order Closed.,
36488316 Order Closed.,
36495742 Order Closed.,
36498975 Order Closed.,
36504366 Order Closed.,
36505120 Order Closed.,
36517216 Order Closed.,
36518551 Order Closed.,
36519110 Order Closed.,
36519489 Order Closed.,
36522339 Order Closed.,
36523633 Order Closed.,
36523832 Order Closed.,
36523929 Order Closed.,
36525833 Order Closed.,
36527895 Order Closed.,
36528361 Order Closed.,
36528688 Order Closed.,
36530796 Order Closed.,
36531178 Order Closed.,
36531757 Order Closed.,
36532118 Order Closed.,
36532777 Order Closed.,
36532921 Order Closed.,
36532966 Order Closed.,
36532982 Order Closed.,
36533418 Order Closed.,
36533721 Order Closed.,
36533939 Order Closed.,
36533991 Order Closed.,
36534675 Order Closed.,
36536521 Order Closed.,
36537310 Order Closed.,
36537793 Order Closed.,
36537956 Order Closed.,
36539793 Order Closed.,
36540626 Order Closed.,
36541960 Order Closed.,
36543177 Order Closed.,
36543713 Order Closed.,
36545653 Order Closed.,
36548175 Order Closed.,
36548753 Order Closed.,
36550064 Order Closed.,
36551438 Order Closed.,
36552679 Order Closed.,
36553905 Order Closed.,
36553993 Order Closed.,
36554190 Order Closed.,
36554290 Order Closed.,
36554573 Order Closed.,
36555173 Order Closed.,
36555637 Order Closed.,
36556119 Order Closed.,
