Live,Login,Read Only,Comment
1,2098,Y,User Changed to Read-Only,

User Has open position.,
24295277 ERROR Closing: Invalid parameters
24295278 ERROR Closing: Invalid parameters
User Changed to Read-Only. All Open position Closed.,
