Live,Login,Read Only,Comment
3,326732,Y,User Changed to Read-Only,

User Has open position.,
36412437 Order Closed.,
36416811 Order Closed.,
36417740 Order Closed.,
36418048 Order Closed.,
36418425 Order Closed.,
36420173 Order Closed.,
36422006 Order Closed.,
36422979 Order Closed.,
36424584 Order Closed.,
36425190 Order Closed.,
36427466 Order Closed.,
36432907 Order Closed.,
36433004 Order Closed.,
36433654 Order Closed.,
36433700 Order Closed.,
36435993 ERROR Closing: Invalid parameters
36439310 ERROR Closing: Invalid parameters
36440846 ERROR Closing: Invalid parameters
36445702 ERROR Closing: Invalid parameters
36445795 ERROR Closing: Invalid parameters
36447319 ERROR Closing: Invalid parameters
36447544 ERROR Closing: Invalid parameters
36450628 ERROR Closing: Invalid parameters
36451040 Closed by external Plugin. Invalid parameters
36451683 ERROR Closing: Invalid parameters
36452129 ERROR Closing: Invalid parameters
36452916 ERROR Closing: Invalid parameters
36454002 ERROR Closing: Invalid parameters
36454796 ERROR Closing: Invalid parameters
36455230 ERROR Closing: Invalid parameters
36455527 ERROR Closing: Invalid parameters
36457248 ERROR Closing: Invalid parameters
36460399 ERROR Closing: Invalid parameters
36461942 Closed by external Plugin. Invalid parameters
36464092 ERROR Closing: Invalid parameters
36466369 ERROR Closing: Invalid parameters
36466401 ERROR Closing: Invalid parameters
36466550 ERROR Closing: Invalid parameters
36469215 ERROR Closing: Invalid parameters
36471098 Closed by external Plugin. Invalid parameters
36471733 ERROR Closing: Invalid parameters
36471982 Closed by external Plugin. Invalid parameters
36475498 ERROR Closing: Invalid parameters
36478399 ERROR Closing: Invalid parameters
36478446 ERROR Closing: Invalid parameters
36478803 ERROR Closing: Invalid parameters
36479504 ERROR Closing: Invalid parameters
36480484 ERROR Closing: Invalid parameters
36480906 Closed by external Plugin. Invalid parameters
36481995 ERROR Closing: Invalid parameters
36482539 ERROR Closing: Invalid parameters
36483907 ERROR Closing: Invalid parameters
36488316 ERROR Closing: Invalid parameters
36495742 ERROR Closing: Invalid parameters
36498975 ERROR Closing: Invalid parameters
36504366 ERROR Closing: Invalid parameters
36505120 ERROR Closing: Invalid parameters
36517216 ERROR Closing: Invalid parameters
36518551 Closed by external Plugin. Invalid parameters
36519110 ERROR Closing: Invalid parameters
36519489 ERROR Closing: Invalid parameters
36522339 ERROR Closing: Invalid parameters
36523633 ERROR Closing: Invalid parameters
36523832 ERROR Closing: Invalid parameters
36523929 ERROR Closing: Invalid parameters
36525833 ERROR Closing: Invalid parameters
36527895 ERROR Closing: Invalid parameters
36528361 Closed by external Plugin. Invalid parameters
36528688 ERROR Closing: Invalid parameters
36530796 ERROR Closing: Invalid parameters
36531178 ERROR Closing: Invalid parameters
36531757 Closed by external Plugin. Invalid parameters
36532118 ERROR Closing: Invalid parameters
36532777 ERROR Closing: Invalid parameters
36532921 ERROR Closing: Invalid parameters
36532966 ERROR Closing: Invalid parameters
36532982 ERROR Closing: Invalid parameters
36533418 ERROR Closing: Invalid parameters
36533721 ERROR Closing: Invalid parameters
36533939 ERROR Closing: Invalid parameters
36533991 ERROR Closing: Invalid parameters
36534675 ERROR Closing: Invalid parameters
36536521 Closed by external Plugin. Invalid parameters
36537310 ERROR Closing: Invalid parameters
36537793 ERROR Closing: Invalid parameters
36537956 ERROR Closing: Invalid parameters
36539793 ERROR Closing: Invalid parameters
36540626 ERROR Closing: Invalid parameters
36541960 Closed by external Plugin. Invalid parameters
36543177 ERROR Closing: Invalid parameters
36543713 ERROR Closing: Invalid parameters
36545653 ERROR Closing: Invalid parameters
36548175 ERROR Closing: Invalid parameters
36548753 ERROR Closing: Invalid parameters
36550064 ERROR Closing: Invalid parameters
36551438 ERROR Closing: Invalid parameters
36552679 ERROR Closing: Invalid parameters
36553905 ERROR Closing: Invalid parameters
36553993 ERROR Closing: Invalid parameters
36554190 Closed by external Plugin. Invalid parameters
36554290 ERROR Closing: Invalid parameters
36554573 ERROR Closing: Invalid parameters
36555173 ERROR Closing: Invalid parameters
